28/02/2024 11:26:37 - 0192:	 - train_loss: 0.463850:	 - test_loss: 0.600185:	 mIoU 0.5387
28/02/2024 11:27:08 - 0193:	 - train_loss: 0.457520:	 - test_loss: 0.597491:	 mIoU 0.5451
28/02/2024 11:27:38 - 0194:	 - train_loss: 0.450935:	 - test_loss: 0.596651:	 mIoU 0.5428
28/02/2024 11:28:09 - 0195:	 - train_loss: 0.453246:	 - test_loss: 0.600900:	 mIoU 0.5297
28/02/2024 11:28:40 - 0196:	 - train_loss: 0.460397:	 - test_loss: 0.596582:	 mIoU 0.5436
28/02/2024 11:29:11 - 0197:	 - train_loss: 0.452809:	 - test_loss: 0.597102:	 mIoU 0.5449
28/02/2024 11:29:41 - 0198:	 - train_loss: 0.468187:	 - test_loss: 0.598318:	 mIoU 0.5397
28/02/2024 11:30:12 - 0199:	 - train_loss: 0.454711:	 - test_loss: 0.598064:	 mIoU 0.5390
28/02/2024 11:30:43 - 0200:	 - train_loss: 0.457924:	 - test_loss: 0.594405:	 mIoU 0.5512
28/02/2024 11:31:13 - 0201:	 - train_loss: 0.453401:	 - test_loss: 0.595283:	 mIoU 0.5433
28/02/2024 11:31:44 - 0202:	 - train_loss: 0.450063:	 - test_loss: 0.589187:	 mIoU 0.5575
28/02/2024 11:32:15 - 0203:	 - train_loss: 0.450174:	 - test_loss: 0.593170:	 mIoU 0.5494
28/02/2024 11:32:46 - 0204:	 - train_loss: 0.448787:	 - test_loss: 0.604784:	 mIoU 0.5210
28/02/2024 11:33:16 - 0205:	 - train_loss: 0.453664:	 - test_loss: 0.588874:	 mIoU 0.5503
28/02/2024 11:33:47 - 0206:	 - train_loss: 0.455232:	 - test_loss: 0.591401:	 mIoU 0.5465
28/02/2024 11:34:18 - 0207:	 - train_loss: 0.460110:	 - test_loss: 0.590902:	 mIoU 0.5552
28/02/2024 11:34:49 - 0208:	 - train_loss: 0.454026:	 - test_loss: 0.591720:	 mIoU 0.5501
28/02/2024 11:35:19 - 0209:	 - train_loss: 0.454379:	 - test_loss: 0.594727:	 mIoU 0.5473
28/02/2024 11:35:50 - 0210:	 - train_loss: 0.451479:	 - test_loss: 0.596289:	 mIoU 0.5466
28/02/2024 11:36:21 - 0211:	 - train_loss: 0.466205:	 - test_loss: 0.612148:	 mIoU 0.5341
28/02/2024 11:36:51 - 0212:	 - train_loss: 0.471377:	 - test_loss: 0.598538:	 mIoU 0.5453
28/02/2024 11:37:22 - 0213:	 - train_loss: 0.456029:	 - test_loss: 0.595741:	 mIoU 0.5509
28/02/2024 11:37:53 - 0214:	 - train_loss: 0.449074:	 - test_loss: 0.592380:	 mIoU 0.5530
28/02/2024 11:38:24 - 0215:	 - train_loss: 0.450624:	 - test_loss: 0.592996:	 mIoU 0.5494
28/02/2024 11:38:54 - 0216:	 - train_loss: 0.444614:	 - test_loss: 0.593170:	 mIoU 0.5449
28/02/2024 11:39:25 - 0217:	 - train_loss: 0.453637:	 - test_loss: 0.593382:	 mIoU 0.5485
28/02/2024 11:39:56 - 0218:	 - train_loss: 0.453622:	 - test_loss: 0.591633:	 mIoU 0.5421
28/02/2024 11:40:26 - 0219:	 - train_loss: 0.452074:	 - test_loss: 0.595425:	 mIoU 0.5413
28/02/2024 11:40:57 - 0220:	 - train_loss: 0.449542:	 - test_loss: 0.594070:	 mIoU 0.5500
28/02/2024 11:41:28 - 0221:	 - train_loss: 0.450362:	 - test_loss: 0.596047:	 mIoU 0.5495
28/02/2024 11:41:59 - 0222:	 - train_loss: 0.448988:	 - test_loss: 0.594855:	 mIoU 0.5426
28/02/2024 11:42:29 - 0223:	 - train_loss: 0.448032:	 - test_loss: 0.593672:	 mIoU 0.5442
28/02/2024 11:43:00 - 0224:	 - train_loss: 0.446536:	 - test_loss: 0.591383:	 mIoU 0.5456
28/02/2024 11:43:31 - 0225:	 - train_loss: 0.450661:	 - test_loss: 0.593366:	 mIoU 0.5480
28/02/2024 11:44:02 - 0226:	 - train_loss: 0.446575:	 - test_loss: 0.592436:	 mIoU 0.5475
28/02/2024 11:44:32 - 0227:	 - train_loss: 0.441185:	 - test_loss: 0.592211:	 mIoU 0.5446
28/02/2024 11:45:03 - 0228:	 - train_loss: 0.444674:	 - test_loss: 0.588042:	 mIoU 0.5572
28/02/2024 11:45:34 - 0229:	 - train_loss: 0.449233:	 - test_loss: 0.596674:	 mIoU 0.5425
28/02/2024 11:46:04 - 0230:	 - train_loss: 0.452368:	 - test_loss: 0.587711:	 mIoU 0.5519
28/02/2024 11:46:35 - 0231:	 - train_loss: 0.455676:	 - test_loss: 0.585055:	 mIoU 0.5581
28/02/2024 11:47:06 - 0232:	 - train_loss: 0.441337:	 - test_loss: 0.585090:	 mIoU 0.5599
28/02/2024 11:47:37 - 0233:	 - train_loss: 0.450364:	 - test_loss: 0.590236:	 mIoU 0.5486
28/02/2024 11:48:07 - 0234:	 - train_loss: 0.445974:	 - test_loss: 0.589891:	 mIoU 0.5471
28/02/2024 11:48:38 - 0235:	 - train_loss: 0.442142:	 - test_loss: 0.591959:	 mIoU 0.5417
28/02/2024 11:49:09 - 0236:	 - train_loss: 0.443771:	 - test_loss: 0.593423:	 mIoU 0.5480
28/02/2024 11:49:40 - 0237:	 - train_loss: 0.448509:	 - test_loss: 0.596045:	 mIoU 0.5409
28/02/2024 11:50:10 - 0238:	 - train_loss: 0.440903:	 - test_loss: 0.599776:	 mIoU 0.5380
28/02/2024 11:50:41 - 0239:	 - train_loss: 0.449130:	 - test_loss: 0.593040:	 mIoU 0.5535
28/02/2024 11:51:12 - 0240:	 - train_loss: 0.437512:	 - test_loss: 0.592582:	 mIoU 0.5492
